attendance_rate,avg_test_score,engagement_time,assignment_completion,weak_topics_count,risk
0.328,76.9,47.4,0.99,6,1
0.451,63.6,107.5,0.618,3,1
0.742,46.1,286.9,0.742,4,1
0.936,61.7,10.0,0.665,1,1
0.623,46.6,25.2,0.435,3,1
0.314,78.1,203.7,0.756,3,1
0.47,78.2,42.1,0.27,0,1
0.664,93.0,34.3,0.808,9,1
0.757,55.0,55.8,0.782,8,1
0.965,59.0,14.1,0.629,2,1
0.652,75.7,77.2,0.645,6,1
0.727,61.6,81.2,0.961,2,0
0.957,81.7,19.7,0.586,6,1
0.884,68.2,224.8,0.734,3,0
0.564,97.8,40.1,0.888,4,1
0.7,81.0,28.6,0.806,5,1
0.562,69.0,136.7,0.785,7,1
0.708,54.8,83.2,0.526,4,1
0.817,54.4,172.9,0.739,5,1
0.872,59.9,72.1,0.907,5,1
0.377,89.2,119.3,0.759,7,1
0.929,85.4,43.3,0.8,5,1
0.652,70.5,41.4,0.378,2,1
0.511,59.5,31.2,0.727,2,1
0.416,84.3,166.0,0.51,1,1
0.928,33.6,79.3,0.524,8,1
0.783,58.7,85.2,0.542,5,0
0.857,64.4,33.0,0.751,5,1
0.552,50.8,24.5,0.844,4,1
0.372,72.7,55.5,0.788,7,1
0.523,70.4,34.5,0.788,4,1
0.914,80.6,111.1,0.601,3,0
0.413,55.5,95.8,0.68,3,1
0.794,57.5,56.7,0.95,6,1
0.6,70.6,28.5,0.664,5,1
0.614,76.6,91.6,0.604,7,1
0.989,37.4,57.6,0.619,4,0
0.699,77.0,212.8,0.704,1,0
0.872,63.0,33.1,0.915,2,1
0.593,100.0,63.9,0.951,5,1
0.467,62.4,37.5,0.748,3,1
0.658,100.0,76.6,0.29,6,1
0.47,74.0,150.3,0.503,2,1
0.654,83.8,87.5,0.501,2,0
0.427,81.1,31.8,0.421,3,1
0.377,68.5,76.7,0.679,5,0
0.914,68.2,92.3,0.605,4,0
0.587,49.8,220.5,0.763,3,0
0.894,78.6,13.5,0.348,4,1
0.525,86.1,144.2,0.246,4,1
0.605,99.1,18.7,0.32,3,1
0.739,74.8,61.8,0.348,5,1
0.954,72.6,107.3,0.716,3,0
0.398,72.7,25.5,0.687,3,1
0.733,84.9,30.5,0.787,4,1
0.318,75.1,41.6,0.629,9,1
0.406,69.6,24.4,0.956,6,1
0.497,90.8,44.3,0.482,5,1
0.813,60.2,79.2,0.697,2,1
0.808,37.7,87.5,0.886,3,1
0.792,46.4,68.4,0.712,4,1
0.535,59.1,178.3,0.566,7,1
0.991,74.6,64.5,0.641,4,1
0.709,100.0,54.8,0.967,6,1
0.951,86.0,138.6,0.7,2,0
0.598,60.9,36.3,0.504,2,1
0.704,100.0,103.0,0.59,6,0
0.962,100.0,53.2,0.606,5,1
0.555,93.4,47.1,0.53,4,0
0.928,95.5,40.8,0.702,3,1
0.778,50.2,68.6,0.655,1,1
0.84,81.1,21.4,0.9,6,1
0.425,83.8,119.7,0.891,4,1
0.645,59.7,45.2,0.86,6,1
0.936,65.8,154.3,0.737,4,0
0.378,81.3,45.5,0.77,4,1
0.421,40.0,18.4,0.704,4,1
0.852,66.7,63.2,0.881,7,1
0.524,71.6,130.8,0.312,5,1
0.309,85.0,163.1,0.752,1,1
0.777,88.9,84.0,0.436,3,1
0.958,79.0,204.0,0.864,2,1
0.699,73.4,47.2,0.728,5,1
0.463,64.4,10.0,0.833,2,1
0.823,92.5,175.3,0.595,6,0
0.658,76.8,105.5,0.575,5,0
0.563,87.2,106.2,0.66,1,1
0.891,59.7,83.6,0.484,3,0
0.815,85.3,68.0,0.573,9,1
0.486,80.5,67.7,0.566,4,1
0.94,65.5,21.0,0.75,6,1
0.909,34.6,147.2,0.559,1,1
0.33,40.1,17.2,0.904,7,1
0.332,58.7,85.8,0.822,2,1
0.414,50.0,50.1,0.497,2,1
0.564,77.6,28.7,0.576,5,1
0.604,67.4,103.0,0.812,10,1
0.743,68.0,51.2,0.675,4,1
0.925,87.8,61.1,0.819,5,1
0.824,60.1,63.4,0.739,7,1
0.433,63.9,40.5,0.663,1,1
0.725,70.9,36.2,0.369,1,1
0.923,40.5,86.6,0.806,7,1
0.36,63.3,59.3,0.873,7,0
0.394,60.8,49.8,0.771,3,1
0.333,54.0,173.2,0.53,7,1
0.949,75.9,83.1,0.893,4,0
0.91,69.5,137.6,0.972,7,0
0.528,64.2,49.3,0.765,4,1
0.94,69.6,133.4,0.58,8,1
0.408,56.7,15.1,0.735,4,1
0.81,61.5,102.8,0.826,5,0
0.887,78.0,68.9,0.827,3,1
0.866,47.7,130.3,0.417,6,1
0.968,70.8,56.6,0.615,1,1
0.774,66.4,22.2,0.815,6,1
0.602,67.5,82.7,0.612,4,1
0.806,66.4,59.4,0.777,5,1
0.63,76.4,93.2,0.64,9,1
0.998,89.2,110.2,0.993,4,0
0.444,56.0,96.1,0.821,4,1
0.666,42.0,64.7,0.73,2,1
0.646,96.9,105.8,0.625,1,1
0.31,87.9,38.9,0.863,5,1
0.958,77.8,160.8,0.846,4,0
0.823,66.6,61.1,0.822,4,1
0.904,61.4,53.5,0.696,5,1
0.527,87.9,18.0,0.58,4,0
0.382,64.3,169.2,0.809,6,1
0.693,92.4,41.8,0.664,1,0
0.37,82.6,47.9,0.878,2,1
0.371,92.6,131.8,0.945,1,1
0.56,71.6,51.0,0.723,4,1
0.313,77.0,12.3,0.667,3,1
0.6,68.5,99.1,0.472,2,1
0.834,55.0,267.5,0.446,3,1
0.652,71.0,54.9,0.817,3,1
0.823,79.6,46.9,0.732,4,0
0.409,78.4,51.9,0.679,3,1
0.539,81.5,110.7,0.729,1,1
0.448,64.5,24.3,0.809,5,1
0.481,55.4,56.2,0.604,3,1
0.74,100.0,42.7,0.415,4,1
0.607,54.6,61.7,0.607,4,1
0.379,55.9,63.5,0.75,3,1
0.889,63.2,80.5,0.738,9,1
0.768,57.2,92.5,0.662,3,0
0.318,69.8,102.3,0.754,2,1
0.597,76.4,55.1,0.711,4,1
0.857,84.3,193.9,0.576,4,0
0.735,81.4,184.3,0.554,5,1
0.572,55.3,94.2,0.605,5,1
0.517,80.6,140.4,0.446,2,1
0.664,62.2,52.0,0.845,4,1
0.346,91.7,10.0,0.894,7,1
0.749,65.9,43.1,0.597,2,1
0.743,87.2,141.5,0.726,3,0
0.749,81.8,157.2,0.819,8,1
0.96,68.6,89.1,0.901,7,0
0.66,62.8,129.0,0.737,5,0
0.462,89.8,176.9,0.633,6,1
0.856,89.8,66.6,0.794,3,1
0.923,88.5,108.2,0.668,1,0
0.389,56.8,28.6,0.868,6,1
0.87,84.7,18.7,0.821,4,1
0.501,63.0,51.4,0.863,3,1
0.771,73.4,134.5,0.661,5,0
0.587,78.5,10.0,0.523,3,1
0.589,74.2,85.8,0.827,7,1
0.427,49.4,152.4,0.667,2,1
0.982,72.9,171.3,0.93,2,0
0.555,63.3,32.6,0.4,4,1
0.88,53.2,109.5,0.792,3,1
0.979,82.5,49.3,0.601,3,1
0.775,53.5,10.0,0.815,2,1
0.305,79.7,19.3,0.451,2,1
0.717,67.9,20.2,0.469,10,1
0.716,60.0,50.8,0.72,1,1
0.706,63.6,30.0,0.817,6,1
0.472,71.1,86.2,0.61,7,1
0.497,72.5,61.3,0.913,2,1
0.387,76.5,29.7,0.556,7,1
0.427,53.8,96.5,0.671,4,1
0.77,54.7,103.8,0.765,6,1
0.385,62.2,54.6,0.512,2,1
0.494,53.6,84.4,0.799,7,1
0.497,65.1,109.2,0.45,3,1
0.689,97.0,182.9,0.529,5,0
0.821,63.1,124.3,0.48,3,1
0.528,97.0,53.8,0.83,4,1
0.71,51.2,20.6,0.733,6,1
0.958,54.9,33.1,0.871,6,1
0.319,54.9,62.8,0.456,5,1
0.793,69.1,70.3,0.5,6,1
0.935,62.7,40.0,0.9,10,0
0.812,78.9,138.6,0.815,5,0
0.702,67.4,88.8,0.624,4,0
0.666,62.6,115.5,0.799,5,0
0.336,64.4,109.2,0.779,1,1
0.57,45.0,30.2,0.666,3,0
0.398,80.4,136.8,0.891,4,1
0.754,66.9,168.6,0.561,5,0
0.645,94.6,102.6,0.25,3,1
0.942,60.8,34.0,0.715,4,1
0.663,54.9,73.8,0.904,8,1
0.667,68.8,18.3,0.805,4,1
0.506,90.7,24.8,0.665,3,0
0.359,76.4,99.8,0.919,3,1
0.743,83.1,21.4,0.894,5,1
0.582,64.9,31.8,0.803,2,1
0.415,92.2,49.8,0.952,0,1
0.932,90.9,31.7,0.895,3,1
0.536,95.9,77.7,0.521,2,1
0.352,95.1,121.2,0.584,0,1
0.303,90.6,52.9,0.579,4,1
0.893,66.9,91.1,0.908,7,0
0.475,97.7,129.0,0.532,4,1
0.713,47.7,118.2,0.728,3,1
0.865,82.8,53.2,0.837,7,1
0.966,50.0,62.5,0.682,3,1
0.94,72.9,63.6,0.724,3,1
0.375,71.1,70.4,0.768,3,1
0.449,70.0,32.2,0.535,4,1
0.904,73.0,80.6,0.876,6,0
0.306,52.6,20.5,0.878,2,1
0.976,85.5,26.4,0.74,5,1
0.405,75.5,92.8,0.786,2,1
0.965,53.4,17.4,0.851,3,1
0.921,60.1,121.5,0.936,5,0
0.378,57.9,23.5,0.841,3,1
0.973,53.6,41.0,0.602,7,1
0.799,58.0,165.8,0.722,2,0
0.368,85.8,53.6,0.795,3,1
0.927,92.8,93.8,0.948,0,0
0.545,84.2,213.1,0.959,2,1
0.731,52.8,29.6,0.862,3,1
0.46,83.7,195.1,0.855,2,1
0.968,61.4,10.0,0.887,4,1
0.449,50.8,81.4,0.938,7,1
0.787,68.8,74.3,0.783,3,1
0.418,80.2,43.0,0.821,4,1
0.424,78.5,172.5,0.785,4,1
0.939,73.9,37.4,0.852,7,1
0.525,47.1,107.6,0.656,4,1
0.309,71.7,94.3,0.705,5,1
0.491,60.7,85.6,0.946,2,1
0.716,100.0,41.3,0.84,5,1
0.338,70.3,14.2,0.626,2,0
0.709,72.5,101.5,0.723,1,0
0.534,94.6,223.1,0.53,1,1
0.779,58.2,136.5,0.844,4,0
0.617,46.6,205.2,0.66,4,1
0.559,100.0,10.0,0.781,3,1
0.575,31.7,89.1,0.55,4,1
0.409,65.6,121.8,0.965,4,1
0.395,76.6,60.8,0.667,3,1
0.7,95.0,40.7,0.71,7,1
0.469,48.5,69.3,0.819,3,0
0.476,33.6,82.4,0.795,7,1
0.637,63.4,84.7,0.783,6,1
0.995,51.9,38.1,0.954,6,1
0.481,51.6,38.1,0.642,7,1
0.729,75.8,104.5,0.82,5,0
0.332,84.8,62.2,0.477,3,1
0.669,88.4,179.9,0.649,7,0
0.793,72.4,62.6,0.515,10,1
0.326,55.7,58.5,0.863,3,1
0.68,93.1,72.5,0.818,2,1
0.896,76.0,18.9,0.826,3,1
0.398,62.3,60.1,0.695,2,1
0.974,70.8,81.1,0.84,6,0
0.383,94.4,71.1,0.479,1,1
0.557,50.8,42.1,0.748,3,1
0.859,69.6,40.3,0.768,3,1
0.568,45.8,32.9,0.874,7,1
0.928,59.8,80.1,0.789,3,0
0.862,100.0,10.0,0.732,7,1
0.816,80.4,69.1,0.834,5,1
0.701,74.8,20.5,0.751,4,1
0.734,79.1,85.5,0.376,7,1
0.604,52.9,23.2,0.702,4,1
0.875,88.4,10.0,0.572,2,1
0.857,66.1,44.9,0.869,4,1
0.991,87.6,85.5,0.65,3,0
0.592,65.4,78.1,0.58,3,1
0.466,50.5,10.0,0.54,3,1
0.49,74.9,252.6,0.544,5,1
0.376,87.8,65.7,0.575,4,0
0.366,60.4,34.5,0.925,1,1
0.746,75.0,65.2,0.581,2,1
0.339,78.5,173.6,0.456,3,1
0.549,67.1,55.5,0.588,5,1
0.799,55.0,181.3,0.452,5,1
0.5,70.5,138.7,0.766,3,1
0.927,64.1,13.3,0.748,3,1
0.912,64.5,108.7,0.55,3,0
0.728,84.1,36.0,0.663,5,1
0.673,80.8,79.0,0.416,4,1
0.439,61.7,39.5,0.871,5,1
0.587,78.8,96.8,0.809,5,1
0.867,60.6,108.3,0.872,1,0
0.843,70.4,12.0,0.879,7,1
0.791,88.7,64.0,0.817,0,1
0.52,62.7,90.0,0.923,5,1  
